xxxx	xxxx	Part	Status	PDF	Comment	#N/A						SE	SE_URL
85016		85016	Found	C:\tools\rohs-automation\output_files\delock\85016_EU_conform.pdf		http://download.siliconexpert.com/pdfs2/2023/5/9/8/35/54/128691/deloc_/auto/85016_eu_conform.pdf	No					89911	http://download.siliconexpert.com/pdfs2/2022/1/4/7/17/47/55331/deloc_/auto/89911_eu_conform-6c.pdf
85850		85850	Found	C:\tools\rohs-automation\output_files\delock\85850_EU_conform.pdf		http://download.siliconexpert.com/pdfs2/2022/1/4/7/24/18/832511/deloc_/auto/85850_eu_conform.pdf	No					89899	http://download.siliconexpert.com/pdfs2/2022/4/19/22/59/43/76393/deloc_/auto/89899_eu_conform-6c.pdf
85350		85350	Found	C:\tools\rohs-automation\output_files\delock\85350_EU_conform.pdf		http://download.siliconexpert.com/pdfs2/2023/5/9/10/10/38/87651/deloc_/auto/85350_eu_conform.pdf	No					89986	http://download.siliconexpert.com/pdfs2/2023/5/10/15/12/24/398406/deloc_/auto/89986_eu_conform-6c.pdf
41825		41825	Found	C:\tools\rohs-automation\output_files\delock\41825_EU_conform.pdf		http://download.siliconexpert.com/pdfs2/2022/4/18/7/56/52/850907/deloc_/auto/41825_eu_conform.pdf	No					89987	http://download.siliconexpert.com/pdfs2/2023/5/12/1/35/9/296160/deloc_/auto/89987_eu_conform-6c.pdf
18296		18296	NotFound		PartNumber Not Found	#N/A						90174	http://download.siliconexpert.com/pdfs2/2024/2/28/16/13/58/676931/deloc_/auto/90174_eu_conform-6c.pdf
11488		11488	Found	C:\tools\rohs-automation\output_files\delock\11488_EU_conform-6c.pdf		http://download.siliconexpert.com/pdfs2/2023/5/9/14/42/30/478624/deloc_/auto/11488_eu_conform-6c.pdf	6.c					90176	http://download.siliconexpert.com/pdfs2/2024/2/28/16/14/22/655223/deloc_/auto/90176_eu_conform-6c.pdf
65201		65201	Found	C:\tools\rohs-automation\output_files\delock\65201_EU_conform.pdf		http://download.siliconexpert.com/pdfs2/2023/5/9/15/28/21/824132/deloc_/auto/65201_eu_conform.pdf	No					11488	http://download.siliconexpert.com/pdfs2/2023/5/9/14/42/30/478624/deloc_/auto/11488_eu_conform-6c.pdf
66266		66266	NotFound		PartNumber Not Found	#N/A						90642	http://download.siliconexpert.com/pdfs2/2024/12/24/14/44/15/7069907713/deloc_/manual/90642_eu_conform.pdf
18299		18299	NotFound		PartNumber Not Found	#N/A						12497	http://download.siliconexpert.com/pdfs2/2023/5/9/15/58/10/965651/deloc_/auto/12497_eu_conform-6c.pdf
18298		18298	NotFound		PartNumber Not Found	#N/A						12583	http://download.siliconexpert.com/pdfs2/2023/5/9/15/58/27/33348/deloc_/auto/12583_eu_conform-6c.pdf
85126		85126	Found	C:\tools\rohs-automation\output_files\delock\85126_EU_conform.pdf		http://download.siliconexpert.com/pdfs2/2023/5/9/8/37/19/65982/deloc_/auto/85126_eu_conform.pdf	No					41423	http://download.siliconexpert.com/pdfs2/2023/5/9/15/9/48/842842/deloc_/auto/41423_eu_conform.pdf
86208		86208	NotFound		Product Tab Not found	#N/A						41825	http://download.siliconexpert.com/pdfs2/2022/4/18/7/56/52/850907/deloc_/auto/41825_eu_conform.pdf
63206		63206	Found	C:\tools\rohs-automation\output_files\delock\63206_EU_conform.pdf		http://download.siliconexpert.com/pdfs2/2023/5/9/10/33/24/5425/deloc_/auto/63206_eu_conform.pdf	No					41914	http://download.siliconexpert.com/pdfs2/2023/5/9/15/10/16/834789/deloc_/auto/41914_eu_conform.pdf
18282		18282	NotFound		PartNumber Not Found	#N/A						62499	http://download.siliconexpert.com/pdfs2/2023/3/26/18/32/50/16271/deloc_/auto/62499_eu_conform.pdf
43259		43259	NotFound		Product Tab Not found	#N/A						62431	http://download.siliconexpert.com/pdfs2/2023/8/20/23/52/3/934285/deloc_/auto/62431_eu_conform-6c7c-i.pdf
18378		18378	NotFound		PartNumber Not Found	#N/A						62999	http://download.siliconexpert.com/pdfs2/2022/1/4/7/19/32/932378/deloc_/auto/62999_eu_conform.pdf
86177		86177	NotFound		PartNumber Not Found	#N/A						64170	http://download.siliconexpert.com/pdfs2/2022/4/18/22/17/6/756248/deloc_/auto/64170_eu_conform.pdf
86893		86893	NotFound		PartNumber Not Found	#N/A						62748	http://download.siliconexpert.com/pdfs2/2023/5/9/8/12/22/153648/deloc_/auto/62748_eu_conform.pdf
43361		43361	NotFound		PartNumber Not Found	#N/A						47224	http://download.siliconexpert.com/pdfs2/2023/5/9/11/1/49/59585/deloc_/auto/47224_eu_conform.pdf
18984		18984	NotFound		PartNumber Not Found	#N/A						62600	http://download.siliconexpert.com/pdfs2/2022/1/4/7/17/54/44357/deloc_/auto/62600_eu_conform.pdf
19403		19403	NotFound		PartNumber Not Found	#N/A						64235	http://download.siliconexpert.com/pdfs2/2023/8/21/0/49/59/398784/deloc_/auto/64235_eu_conform.pdf
86933		86933	Found	C:\tools\rohs-automation\output_files\delock\86933_EU_conform.pdf		http://download.siliconexpert.com/pdfs2/2023/5/9/8/41/55/744398/deloc_/auto/86933_eu_conform.pdf	No					62988	http://download.siliconexpert.com/pdfs2/2023/5/9/8/12/54/228353/deloc_/auto/62988_eu_conform-7c-i.pdf
80218		80218	Found	C:\tools\rohs-automation\output_files\delock\80218_EU_conform.pdf		http://download.siliconexpert.com/pdfs2/2023/5/12/2/12/26/141397/deloc_/auto/80218_eu_conform.pdf	No					63206	http://download.siliconexpert.com/pdfs2/2023/5/9/10/33/24/5425/deloc_/auto/63206_eu_conform.pdf
85817		85817	Found	C:\tools\rohs-automation\output_files\delock\85817_EU_conform.pdf		http://download.siliconexpert.com/pdfs2/2022/1/4/7/24/15/430487/deloc_/auto/85817_eu_conform.pdf	No					62520	http://download.siliconexpert.com/pdfs2/2022/1/4/7/20/24/327249/deloc_/auto/62520_eu_conform.pdf
66866		66866	NotFound		PartNumber Not Found	#N/A						63326	http://download.siliconexpert.com/pdfs2/2024/3/30/16/40/38/230833/deloc_/auto/63326_eu_conform.pdf
87046		87046	Found	C:\tools\rohs-automation\output_files\delock\87046_EU_conform.pdf		http://download.siliconexpert.com/pdfs2/2022/4/18/8/15/41/734394/deloc_/auto/87046_eu_conform.pdf	No					64203	http://download.siliconexpert.com/pdfs2/2023/7/26/0/57/48/545487/deloc_/auto/64203_eu_conform.pdf
89836		89836	Found	C:\tools\rohs-automation\output_files\delock\89836_EU_conform.pdf		http://download.siliconexpert.com/pdfs2/2023/5/10/5/5/19/154994/deloc_/auto/89836_eu_conform.pdf	No					65012	http://download.siliconexpert.com/pdfs2/2022/1/4/7/18/41/746479/deloc_/auto/65012_eu_conform.pdf
89013		89013	Found	C:\tools\rohs-automation\output_files\delock\89013_EU_conform.pdf		http://download.siliconexpert.com/pdfs2/2022/4/18/21/24/9/528731/deloc_/auto/89013_eu_conform.pdf	No					64053	http://download.siliconexpert.com/pdfs2/2023/6/7/1/58/27/789773/deloc_/auto/64053_eu_conform.pdf
87009		87009	Found	C:\tools\rohs-automation\output_files\delock\87009_EU_conform.pdf		http://download.siliconexpert.com/pdfs2/2022/4/18/9/18/15/837340/deloc_/auto/87009_eu_conform.pdf	No					65201	http://download.siliconexpert.com/pdfs2/2023/5/9/15/28/21/824132/deloc_/auto/65201_eu_conform.pdf
18288		18288	NotFound		Product Tab Not found	#N/A						65302	http://download.siliconexpert.com/pdfs2/2022/1/4/7/18/11/31851/deloc_/auto/65302_eu_conform.pdf
87983		87983	Found	C:\tools\rohs-automation\output_files\delock\87983_EU_conform.pdf		http://download.siliconexpert.com/pdfs2/2023/8/20/23/40/35/697172/deloc_/auto/87983_eu_conform.pdf	No					65269	http://download.siliconexpert.com/pdfs2/2022/1/4/7/21/0/359485/deloc_/auto/65269_eu_conform-6c.pdf
80217		80217	Found	C:\tools\rohs-automation\output_files\delock\80217_EU_conform.pdf		http://download.siliconexpert.com/pdfs2/2023/5/12/2/12/26/565288/deloc_/auto/80217_eu_conform.pdf	No					65324	http://download.siliconexpert.com/pdfs2/2022/4/18/8/2/17/395592/deloc_/auto/65324_eu_conform.pdf
80322		80322	Found	C:\tools\rohs-automation\output_files\delock\80322_EU_conform.pdf		http://download.siliconexpert.com/pdfs2/2024/1/12/9/17/40/610415/deloc_/auto/80322_eu_conform.pdf	No					65474	http://download.siliconexpert.com/pdfs2/2023/5/9/8/9/39/933102/deloc_/auto/65474_eu_conform.pdf
64203		64203	Found	C:\tools\rohs-automation\output_files\delock\64203_EU_conform.pdf		http://download.siliconexpert.com/pdfs2/2023/7/26/0/57/48/545487/deloc_/auto/64203_eu_conform.pdf	No					65342	http://download.siliconexpert.com/pdfs2/2023/5/9/8/11/13/267835/deloc_/auto/65342_eu_conform.pdf
18983		18983	NotFound		PartNumber Not Found	#N/A						66551	http://download.siliconexpert.com/pdfs2/2023/8/20/5/4/10/367797/deloc_/auto/66551_eu_conform.pdf
80338		80338	Found	C:\tools\rohs-automation\output_files\delock\80338_EU_conform.pdf		http://download.siliconexpert.com/pdfs2/2024/1/13/5/7/41/26743/deloc_/auto/80338_eu_conform.pdf	No					66073	http://download.siliconexpert.com/pdfs2/2023/3/26/18/12/7/400993/deloc_/auto/66073_eu_conform.pdf
89411		89411	NotFound		Product Tab Not found	#N/A						66870	http://download.siliconexpert.com/pdfs2/2022/4/18/22/16/41/756183/deloc_/auto/66870_eu_conform.pdf
82814		82814	Found	C:\tools\rohs-automation\output_files\delock\82814_EU_conform.pdf		http://download.siliconexpert.com/pdfs2/2022/4/18/8/51/1/602358/deloc_/auto/82814_eu_conform.pdf	No					66872	http://download.siliconexpert.com/pdfs2/2022/4/18/22/16/47/890919/deloc_/auto/66872_eu_conform.pdf
85976		85976	Found	C:\tools\rohs-automation\output_files\delock\85976_EU_conform.pdf		http://download.siliconexpert.com/pdfs2/2022/1/4/7/27/17/467874/deloc_/auto/85976_eu_conform.pdf	No					80026	http://download.siliconexpert.com/pdfs2/2024/2/28/18/6/23/811881/deloc_/auto/80026_eu_conform.pdf
